delay_list
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
0.1
0.2
0.4
0.6
0.8
1
1.2
